"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"1.40540541","0.0130107","0.71153846","0.79841897","Cholic acid","23","3","false","BHQCQFFYRZLCQQ-OELDTZBJSA-N","20.39130435","23","0","bile_acids","0","0.89864865","false","0","BHQCQFFYRZLCQQ-OELDTZBJSA-N","258","0.56642512","metabolite"
"1.40540541","0.01497983","0.71153846","0.78787879","Taurochenodeoxycholic acid","22","2","false","BHTRKEVKTKCXOH-BJLOMENOSA-N","20.27272727","22","0","bile_acids","0","0.89864865","false","0","BHTRKEVKTKCXOH-BJLOMENOSA-N","256","0.54791155","metabolite"
"1.32432432","0.05824521","0.75510204","0.67","Gamma-Aminobutyric Acid","25","2","false","BTCSSZJGUNDROE-UHFFFAOYSA-N","19.0","25","0","amino_acids","0","0.91891892","false","0","BTCSSZJGUNDROE-UHFFFAOYSA-N","534","0.51351351","metabolite"
"1.37837838","0.01625602","0.7254902","0.76811594","alpha-Muricholic acid","24","3","false","DKPMWHFRUGMUKF-GDYCBZMLSA-N","20.0","24","0","bile_acids","0","0.90540541","false","0","DKPMWHFRUGMUKF-GDYCBZMLSA-N","302","0.55555556","metabolite"
"1.75675676","0.00103767","0.56923077","0.92307692","Hyocholic acid","13","3","false","DKPMWHFRUGMUKF-KWXDGCAGSA-N","22.15384615","13","0","bile_acids","0","0.81081081","false","0","DKPMWHFRUGMUKF-KWXDGCAGSA-N","20","0.67132867","metabolite"
"1.72972973","0.03499719","0.578125","0.86029412","Butyric Acid","17","3","false","FERIUCNNQQJTOY-UHFFFAOYSA-N","20.41176471","17","0","short_chain_fatty_acids","0","0.81756757","false","0","FERIUCNNQQJTOY-UHFFFAOYSA-N","208","0.70182556","metabolite"
"1.40540541","0.01689488","0.71153846","0.75","Glycochenodeoxycholic acid","24","3","false","GHCZAUBVMUEKKP-GYPHWSFCSA-N","19.91666667","24","0","bile_acids","0","0.89864865","false","0","GHCZAUBVMUEKKP-GYPHWSFCSA-N","308","0.56904762","metabolite"
"1.59459459","0.01179907","0.62711864","0.83040936","Histidine","19","3","false","HNDVDQJCIGZPNO-YFKPBYRVSA-N","20.26315789","19","0","amino_acids","0","0.85135135","false","0","HNDVDQJCIGZPNO-YFKPBYRVSA-N","134","0.61403509","metabolite"
"1.67567568","0.00561997","0.59677419","0.825","Deoxycholic Acid","16","3","false","KXGVEGMKQFWNSR-LLQZFEROSA-N","20.875","16","0","bile_acids","0","0.83108108","false","0","KXGVEGMKQFWNSR-LLQZFEROSA-N","100","0.63257576","metabolite"
"1.43243243","0.01774718","0.69811321","0.8","Serine","21","2","false","MTCFGRXMJLQNBG-REOHCLBHSA-N","20.80952381","21","0","amino_acids","0","0.89189189","false","0","MTCFGRXMJLQNBG-REOHCLBHSA-N","270","0.56241956","metabolite"
