Sample_ID	643	671	745	915	680	940	1028	1075	1124	1161	1192	1223	641	676	711	920	677	748	794	958	843	1087	1160	1189	751	829	877	1024	764	816	875	1022	640	667	716	970	790	1026	1097	1140
Condition	Pre	Stress	Post	Control	Control	Pre	Stress	Post	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Control	Pre	Stress	Post	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Pre	Stress	Post	Control	Control	Pre	Stress	Post
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0.005127735555352074	0.11328955886432997	0.08126603934987169	0.09063569428601058	0.007581184336198663	0.007562277580071174	0.03355704697986577	NaN	0.010075566750629723	0.0018862153344208809	0.0018771331058020477	0.001723543605653223	0.009952574978291363	0.012978585334198572	0.004364045892869712	0.0031532766657526735	0.0	0.018045242617855294	0.0009110961925769636	0.00755355863775477	0.00864902266043937	0.0027008777852802163	0.0034074452679103842	0.0010484556531595354	0.003401360544217687	0.10681114551083591	NaN	0.004726614926766645	0.0010946408209806158	0.0008358874338255781	0.0044953596287703014	0.07039384336803983	0.0462262221313152	0.0031307351829860737	0.0020880055680148482	0.01578255151249452	0.07579987116169208	0.03959602436678423	0.004093567251461989	0.015068493150684932
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0.0	0.001479700360676963	0.0026732249786142	0.0	0.006148519579751671	0.0	0.0	NaN	0.0025188916876574307	0.001937194127243067	0.0	0.0026427668620016085	0.007614721795471244	0.0	0.002815513479270782	0.008157389635316698	0.0	0.0049214298048696255	0.0010070010549534862	0.0027349091619456923	0.0003459609064175748	0.0006001950633956035	0.0	0.013289883819778974	0.003401360544217687	0.0	NaN	0.0	0.005701254275940707	0.0	0.004350348027842227	0.0	0.0015681461784959434	0.0	0.004021344056917485	0.0	0.0036504187245007514	0.0032061558191728116	0.004239766081871345	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.03149894698287702	0.02524738740405068	0.022134302822925576	0.17629368453800684	0.007819961795606494	0.01201067615658363	0.0	NaN	0.06722292191435768	0.04012030995106036	0.025085324232081912	0.05429162357807653	0.01930398770957184	0.006229720960415314	0.013584852537481523	0.00472991499862901	0.01261626300764343	0.011742358832671386	0.027380838208497172	0.013348961385687308	0.03338522746929597	0.01177882811913872	0.08348240906380441	0.018163785775007085	0.01689342403628118	0.0063025210084033615	NaN	0.023341308280329112	0.017468643101482325	0.016717748676511563	0.005220417633410673	0.00520597555454957	0.019567737096884162	0.018892367483536652	0.010517361379630346	0.0	0.04321451578269272	0.020359089451747355	0.02358674463937622	0.004614275414563807
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.002563867777676037	0.002589475631184685	0.0	0.011303536243907498	0.00501432664756447	0.0	0.0	NaN	0.00818639798488665	0.006015497553017945	0.00575938566552901	0.011662645064920143	0.0015363035201389353	0.004672290720311486	0.0017596959245442388	0.001165341376473814	0.0007367160880375726	0.003798998445864272	0.0	0.004362831282151462	0.0021334255895750446	0.0038262435291469728	0.0	0.0013601586851799377	0.0072562358276643995	0.0033171163202122956	NaN	0.00210071774522962	0.004697833523375143	0.0016717748676511562	0.000580046403712297	0.004866455409687642	0.0023181291334287858	0.0	0.0	0.0	0.001181017822632596	0.0	0.0008771929824561404	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0017397674205658822	0.0022195505410154445	0.0	0.0019703411801306647	0.0	0.0	0.0	NaN	0.0	0.004129282218597064	0.004650170648464164	0.0018384465126967712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004250495891187305	0.0	0.0	NaN	0.0	0.0	0.0	0.0018851508120649651	0.0	0.0	0.0018352585555435604	0.0	0.0017536168347216134	0.0	0.0	0.0004385964912280702	0.00028839221341023794
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.2937459939565974	0.234347544622214	0.05731394354148845	0.17701959970963393	0.23089780324737344	0.005338078291814947	0.05885389778007228	NaN	0.11807304785894207	0.26819942903752036	0.2888651877133106	0.12432494542111916	0.12717921314541447	0.048799480856586634	0.014851833603153375	0.12071565670414039	0.07118519200663044	0.19124503539975823	0.010885201879735303	0.053916780621215084	0.0713832670241596	0.11606272038412484	0.003237073004514865	0.14715216775290452	0.15634920634920635	0.026868642193719594	NaN	0.002976016805741962	0.14120866590649944	0.058790749512398995	0.17314385150812064	0.12799909461294703	0.3402195404649894	0.26449314476951313	0.15219240584641558	0.15300306882946077	0.04874382649774533	0.1726514908624559	0.10570175438596491	0.20648882480173036
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0011215334420880913	0.0008959044368600683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales	0.0	0.0012022565430500323	0.001710863986313088	0.0	0.0	0.0	0.0	NaN	0.0	0.001784257748776509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium	0.004395201904587492	0.007860908166096366	0.00481180496150556	0.019081198797054857	0.0057306590257879654	0.012455516014234875	0.004646360351058337	NaN	0.02959697732997481	0.03420676998368679	0.019667235494880544	0.024991382281971734	0.01596419744840024	0.031018818948734588	0.009009643133666503	0.02125034274746367	0.017312828068882954	0.015282334657226731	0.007432626834180493	0.010483818454125155	0.00836072190509139	0.013129267011778828	0.06227106227106227	0.007990932275432133	0.015759637188208615	0.036930561698363555	NaN	0.019373285872673163	0.012451539338654505	0.011702424073558095	0.004640371229698376	0.0069035762788592124	0.005454421490420672	0.026881140019432148	0.004253344675585802	0.013590530469092503	0.018896285162121537	0.01923693491503687	0.009210526315789473	0.014780100937274693
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.00027366020524515394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000590508911316298	0.0	0.0	0.0
