key	common_name	parent_group	type	diff_expr	diff_direction
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium	Coriobacteriaceae_Coriobacterium	Coriobacteriaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	Aerococcaceae_Abiotrophia	Aerococcaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Streptococcaceae_Streptococcus	Streptococcaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia-Obesumbacterium	Hafniaceae_Hafnia-Obesumbacterium	Hafniaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	Oscillospiraceae_Flavonifractor	Oscillospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	Lachnospiraceae_[Ruminococcus]_gnavus_group	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	Clostridiaceae_Clostridium_sensu_stricto_1	Clostridiaceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__uncultured	Atopobiaceae_uncultured	Atopobiaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	Prevotellaceae_Prevotella	Prevotellaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter	Barnesiellaceae_Coprobacter	Barnesiellaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	Prevotellaceae_Paraprevotella	Prevotellaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	Lachnospiraceae_Oribacterium	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	Peptococcaceae_Peptococcus	Peptococcaceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	Atopobiaceae_Olsenella	Atopobiaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	Veillonellaceae_Megasphaera	Veillonellaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	Oscillospiraceae_Oscillibacter	Oscillospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	Lachnospiraceae_[Ruminococcus]_torques_group	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Allisonella	Veillonellaceae_Allisonella	Veillonellaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinatimonas	Succinivibrionaceae_Succinatimonas	Succinivibrionaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	Leuconostocaceae_Leuconostoc	Leuconostocaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured	uncultured_uncultured	uncultured	microbe	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	Acidaminococcaceae_Phascolarctobacterium	Acidaminococcaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Anaerobiospirillum	Succinivibrionaceae_Anaerobiospirillum	Succinivibrionaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	Lachnospiraceae_Lachnospiraceae_FCS020_group	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	Gemellaceae_Gemella	Gemellaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas	Selenomonadaceae_Megamonas	Selenomonadaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	Ruminococcaceae_Subdoligranulum	Ruminococcaceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	Eggerthellaceae_Enterorhabdus	Eggerthellaceae	microbe	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	Akkermansiaceae_Akkermansia	Akkermansiaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	Lachnospiraceae_Lachnospiraceae_NK4A136_group	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	Lachnospiraceae_Tyzzerella	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	Enterococcaceae_Enterococcus	Enterococcaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Syntrophococcus	Lachnospiraceae_Syntrophococcus	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	Corynebacteriaceae_Corynebacterium	Corynebacteriaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	Lachnospiraceae_Lachnoclostridium	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	Prevotellaceae_Alloprevotella	Prevotellaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	Oscillospiraceae_Colidextribacter	Oscillospiraceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	Butyricicoccaceae_Butyricicoccus	Butyricicoccaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	Lachnospiraceae_GCA-900066575	Lachnospiraceae	microbe	0	0
